㧻破	敲破
這个頭家猶真少年.	這個老闆還很年輕.
這擺的水災真嚴重.	這次的水災很嚴重.
這个囡仔真歹育飼.	這個小孩子很難扶養.
這港水泉的水誠甘.	這條泉水的水很甘甜.
這是𪜶阿公的手筆.	這是他爺爺的筆跡.
這聲你真正卯死矣.	這下你真的賺死了.
這个人真有本土味.	這個人很有本土味.
這領衫本來是我的.	這件衣服本來是我的.
這粒檨仔猶閣生生.	這顆芒果還沒熟.
這塊桌仔是光面的.	這張桌子是光面的.
這兩色配做伙無合.	這兩種顏色不搭調.
這間冊店有賣印色.	這間書店有賣印泥.
這个囡仔真好喙斗.	這個小孩不挑食.
這件代誌真僫收場.	這件事很難收場.
這領衫的色水袂䆀.	這件衣服的顏色不錯.
這擔的肉餅真好食.	這攤的肉餅很好吃.
這塊布的色緻真媠.	這塊布的顏色真美.
這條錢是伊吞去的.	這筆錢是他私吞的.
這口氣我吞袂落去.	我忍不下這口氣.
這粒西瓜食著真沙.	這顆西瓜吃起來沙沙的.
這盤蚶仔沙屑真濟.	這盤文蛤的細沙很多.
這个囡仔真歹育飼.	這個小孩多病,養育不容易.
這尾魚仔煎了有赤.	這條魚煎得微焦.
這領衫洗了煞走色.	這件衣服洗了卻褪色.
這个囡仔真𠢕走跳.	這個小孩很有活力.
這是我初步的想法.	這是我一開始的想法.
這佮你有啥物底代?	這干你何事?
這个案件猶未定案.	這個案件還沒定讞.
這塊田拋荒真久矣.	這塊田荒廢很久了.
這塊眠床枋足𠕇的.	這張床板很硬.
這本冊寫甲誠明白.	這本書寫得十分清楚明確.
這領裙的布底真勇.	這條裙子的底布很耐用.
這个封喙封無好勢.	這个封口沒封好.
這个袋仔你欲挃無?	這個袋子你要嗎?
這種代誌你曷敢做?	這種事情你也敢做?
這欉樹仔葉仔真茂.	這棵樹木的葉子很茂密.
這个人倒吊無墨水.	這個人倒吊起來也沒半滴墨水.比喻人沒學問,胸無點墨.
這个囡仔都誠乖哩!	這個小孩乖巧得很呢!
這是古早厝的厝瓦.	這是老房子的屋瓦.
這帖藥仔食了無效.	這帖藥仔吃了沒效.
這藥仔無啥物效力.	這個藥沒什麼功效.
這馬是啥物時候矣?	現在是什麼時間了?
這雙柴屐閣袂歹穿.	這雙木屐還不難穿.
這領衫有一个破空.	這件衣服有一個破洞.
這領衫落水煞退色.	這件衣服下水就退色了.
這搭有一个大商場.	這裡有一個大商場.
這先予你啖糝一下.	這些先讓你解解饞.
這个囡仔真得人疼.	這個小孩很討人喜歡.
這个花坩徙去彼爿.	這個花盆移到那邊去.
這張圖由我來徛名.	這幅字畫由我來題字落款.
這个所在真好徛起.	這個地方生活舒適方便.
這條路斜對東爿去.	這條路斜向東邊.
這層代誌莫牽著伊.	這件事情不要牽連到他.
這搭的人攏誠親切.	這裡的人都很親切.
這个囡仔若野馬咧.	這個小孩像野馬一樣難拘束.
這塊餅有伊的喙殘.	這塊餅乾有他的口水.
這欉樹仔有三尋大.	這棵樹有三個人合抱那麼大.
這愛幾工才會完成?	這要幾天才能完成?
這句話是伊提頭的.	這個話題是他起頭的.
這塊布較結較袂破.	這塊布比較堅實比較不會破.
這件代誌費氣費觸.	這件事情很麻煩.
這塊餅真酥真好食.	這塊餅非常酥脆好吃.
這領衫有三鈕鈕仔.	這件衣服有三顆鈕扣.
這馬我心肝亂操操.	現在我心情煩躁.
這聲真正是塗塗塗.	這下子真的是一團糟了.
這塊桌仔毋通搬徙.	這張桌子不要移動.
這條歌你會曉唱袂?	這首歌你會不會唱?
這幫是落南的快車.	這班車是要南下的快車.
這題的解答佇後面.	這題的答案在後面.
這間厝裝潢了袂䆀.	這間房子裝潢得不錯.
這項代誌我無詳細.	這件事我不清楚.
這粒檨仔傷過分矣.	這顆芒果已經過熟了.
這條錢是伊過手的.	這筆款項是他經手辦理的.
這領衫我看袂過目.	這件衣服我看不上眼.
這句話你毋通過喙.	這句話你不要轉述.
這水的塗豆真飽仁.	這批花生很飽滿.
這種代誌袂嘐潲得.	這種事不能張揚.
這款種是新引進的.	這個品種是新引進的.
這兩種有啥物精差?	這兩種有什麼差別?
這隻貓身軀有噴點.	這隻貓身上有斑點.
這个消息敢有確實?	這個消息正確嗎?
這个老師袂罵學生.	這個老師不會罵學生.
這本課本有十二課.	這本課本有十二課.
這台車四輪攏愛換.	這部車四個輪子都要換.
這間厝起了足魯的.	這間房子蓋得真不精緻.
這領衫穿起來傷縛.	這件衣服穿起來太緊了.
這馬的頭路真僫揣.	現在的工作很難找.
這个嬰仔有夠古錐.	這個小嬰兒有夠可愛的.
這是我小小的願望.	這是我小小的願望.
這件代誌我願意做.	這件事情我願意做.
這隻椅仔懸度啥款?	這把椅子高度如何?
這个所在足癩𰣻的.	這個地方很髒.
這个囡仔足驚生份.	這個小孩很怕生.
這領衫穿著足鑿的.	這件衣服穿起來刺刺的,感覺不舒服.
這个囡仔真好生張.	這個小孩外型、個性都好.
這塊柴有一个柴目.	這塊木頭有一個結節.
這軀洋裝退時去矣.	這套洋裝已經退流行了.
過年較有人食臘肉.	過年比較有人在吃臘肉.
遐的數就準拄好矣.	那些帳就算扯平了.
遐的我攏欲提轉去.	那些我都要拿回去.
遮的上加是兩百箍.	這些頂多兩百元.
遮合算起來是偌濟?	這些合計起來是多少?
遮的地頭你有熟無?	這個地方你熟嗎?
遮的豆酺有臭殕味.	這些豆麴有霉味.
遮的舊衫留咧粗穿.	這些舊衣服留著當居家工作服.
遮厚的酒真歹落喉.	這麼濃的酒很難入喉.
酒廠買葡萄去激酒.	酒廠買葡萄去釀酒.
酸的物件我較無銷.	酸的東西我比較不愛吃.
醫生咧共伊挽喙齒.	醫生在幫他拔牙齒.
醬甲規領衫攏烏去.	搞得整件衣服都黑掉了.
錢予賊仔偷提去矣!	錢被小偷偷走了!
錢我頂擺就納去矣.	錢我上次就已經繳了.
門小𫟂咧,莫關絚.	門稍掩著,不要關緊.
開金仔店著落重本.	開創銀樓需要投下大資本.
閒閒罔出來行跤花.	閒著沒事姑且不妨出來閒逛.
阮丈姆明仔載欲來.	我的岳母明天要來.
阮先生娘生做真媠.	我們的師母長得很美.
阮阿公上愛食豆乾.	我爺爺最喜歡吃豆干.
阮兩个差不多平懸.	我們兩個人差不多一樣高.
阮這幾个攏是校友.	我們這幾位都是校友.
阮囝嘛咧欲歇冬矣.	我兒子也快要放寒假了.
阮學校明仔載歇睏.	我們學校明天放假.
阮厝頂月日才翻新.	我們家的房子上個月才翻新.
阿爸交代伊愛用功.	爸爸叮嚀他要用功讀書.
阿母去肉砧買豬肉.	媽媽去豬肉舖買豬肉.
阿明招我去拈田嬰.	阿明找我去捉蜻蜓.
阿英,好來食晝矣.	阿英,可以來吃中飯了.
阿伯來,你有喊無?	伯父來,你開口叫他了沒?
阿勇對阿麗有意思.	阿勇喜歡阿麗.
阿母誠𠢕佮人講價.	媽媽很會跟人家討價還價.
陳的佮王的咧加話.	老陳跟老王兩人在爭論.
隔壁閣咧煎藥仔矣!	隔壁又在煎藥了!
隔一點鐘才食藥仔.	間隔一小時再吃藥.
雜貨仔店咧賣雜貨.	雜貨店在賣雜貨.
雞去剁剁咧通好食.	把雞拿去剁一剁可以吃.
雞仔生雞𧉟真普遍.	雞生雞蝨很普遍.
青菜的尾仔蔫去矣.	青菜的末端枯萎了.
面皮開始咧攝襇矣.	臉上開始出現皺紋了.
鞋穿好鞋帶愛拍結.	鞋子穿好鞋帶要打結.
頂個月月經無來洗.	上個月月經沒有來.
頭毛熁著火就虯去.	頭髮一靠近火就收縮蜷曲.
頭手講的才有準算.	最高負責人說的才算數.
頭家落空車去載貨.	老闆開空車去載貨.
頷頸生瘤,拄著矣.	脖子長瘤,抵到了下巴.歇後語,意指遇到了、碰上了.
食杏仁茶配油炸粿.	喝杏仁茶配油條.
食啥物食甲摳摳叫.	吃什麼吃得發出清脆聲響.
飼金魚仔愛有草蔬.	養金魚宜有水草.
魚仔煎甲臭火焦去.	魚煎到燒焦了.
魚港賣的魚較鮮沢.	魚港賣的魚較新鮮.
魚仔先𠞭開才豉鹽.	魚先劃出痕跡再用鹽醃製.
鳥鼠予貓掠了了矣.	老鼠被貓抓光光了.
黃色的雨幔較顯目.	黃色的雨衣比較醒目.
𪜶頭家真𠢕共人刁.	他們的老闆很會為難人.
𪜶大家官對伊袂䆀.	他的公公婆婆對他不錯.
𪜶兩人的交情誠好.	他們兩人的友誼很好.
𪜶兩人的私交誠好.	他們兩人的私交很好.
𪜶兜無咧服侍神明.	他家沒有供奉神佛.
𪜶兩人佇車頭相攬.	他們兩人在車站互相擁抱.
𪜶透早就去挽茶矣.	他們一早就去採茶了.
𪜶兩个已經退定矣.	他們兩個已經退婚了.
𪜶大家足𠢕訕削人.	他婆婆非常會挖苦人家.
𪜶家己買地來起厝.	他們自己買地蓋房子.
𪜶兩个早就絕路矣.	他們兩位早就絕交了.
𪜶阿公已經過往矣.	他爺爺已經過世了.
𪜶兩个的意見對反.	他們兩個的意見相反.
𪜶兩个熟似真久矣.	他們倆個認識很久了.
𪜶兩个閣咧盤話矣.	他們兩個又在鬥嘴了.
𪜶兩个人真愛相觸.	他們兩個很喜歡吵架.
一耳空入,一耳空出.	右耳進、左耳出.比喻善忘.
一府、二鹿、三艋舺.	“府”指今臺南市、“鹿”指今彰化縣鹿港鎮、“艋舺”指今臺北市萬華區.一、二、三則為三個地區早期的開發順序.
一丈差九尺,差遠咧.	一丈還差九尺,差得遠呢!
一陣人揤倚來欲相拚.	一群人迫近來想打架.
一个童乩,一个桌頭.	比喻一搭一唱或狼狽為奸.
一人五百,鬥做兩千.	一人五百元,剛好兩千.
一日徙栽,三日徛黃.	樹木被移植之後,有一段時間會出現暫時性枯黃的現象.引申用來勸人不要沒有定性,否則很難有所成就.
一人開三百就有夠矣.	一人分攤三百就夠了.
一暗無眠,三日踅神.	一個晚上睡不好,會導致連續三天精神恍惚.
一跤舊皮箱踏兩百箍.	一只舊皮箱折兩百元.
一歲生張,百歲牢老.	小時候養成的習性,到了年老都不容易改變.俗語,性癖自幼養成,及長難改,幼教重要.
三代粒積,一代開空.	聚積了三代的財富,卻被後代不孝子孫短時間內揮霍殆盡.
三年一閏,好歹照輪.	農曆大約三年閏年一次,引申為風水輪流轉.
不過是如此如此爾爾.	不過爾爾罷了.
予你加無閒,真歹勢.	讓您增加麻煩,多了許多事,真是不好意思.
事事項項攏愛我操煩.	每一件事都要我操心煩惱.
五四三,講甲規米籃.	講了一大堆沒用的話.
人無來,提鞋範來和.	人沒來,拿鞋樣來比對.
人的命運是真歹講的.	人的貧富禍福是很難斷定的.
人講食豬血會去垃儳.	人家說吃豬血可以去除髒東西.
人食老就會較無頭神.	人老了記憶力就差了.
人真濟,坐甲足滿的.	人很多,坐得很滿.
人若淺緣,就袂深交.	人與人之間如果緣份淺,就不會深切交往.
今仔日熱甲強欲剝皮.	今天熱到想剝皮.
今仔日推了有夠飽的.	今天吃得真飽.
今仔日欲搬啥物戲齣?	今天要演出什麼戲碼?
今仔日的暗頓誠豐沛!	今天的晚餐很豐盛!
仙拚仙,害死猴齊天.	比喻兩方拚鬥,禍延無辜的第三者.
代誌到今猶是無下落.	事情到現在還是沒有下文.
代誌纏身,袂赴出門.	事情纏身,來不及出門.
伊是二手,毋是頭手.	他是助手,不是師傅.
伊刁故意欲講予你氣.	他故意這麼說要惹你生氣.
伊做啥物生理攏了錢.	他做什麼生意都賠錢.
伊刻這粒印仔真了工.	他刻這顆印章花很多時間.
伊是老師,也是學生.	他是老師,也是學生.
伊走去共𪜶頭家大聲.	他跑去跟他的老闆理論.
伊是本尊,毋是分身.	他是本尊,不是代理人.
伊看著人攏文文仔笑.	他看到人總是微微笑著.
伊是一个無天良的人.	他是一個沒良心的人.
伊予車挵一下毋知人.	他被車子撞得不醒人事.
伊對語言方面真有興趣	他對語言方面很有興趣.
伊最近看起來誠心爽.	他最近看起來很舒爽.
伊的本性就是較軟心.	他天生就是心地較軟.
伊平常時攏無咧運動.	他平時都不運動.
伊有影是戇甲袂扒癢.	他實在是笨得連抓癢都不會.意即非常笨.
伊攏交結一寡做官的.	他都結交一些做官的人.
伊佮𪜶老爸生做誠成.	他和他爸爸長得很像.
伊這個月的收入袂少.	他這個月的收入不少.
伊已經有身兩個月矣.	他已經懷孕兩個月了.
伊收跤洗手誠濟年矣.	他退隱江湖很多年了.
伊的作為予人誠欣賞.	他的所做所為讓人很欣賞.
伊的尾仔囝閣咧讀冊.	他的小兒子還在念書.
伊的面看著孝呆孝呆.	他的臉看起來就傻乎乎的樣子.
伊上𠢕共頭家扶𡳞脬.	他最會奉承老闆.
伊做代誌跤手真扭掠.	他做事手腳很敏捷.
伊愛人扶插才徛會牢.	他需要人家攙扶著才站得住.
伊的志願是欲做醫生.	他的志願是要做醫生.
伊去臺北投靠𪜶阿姊.	他去臺北投靠他姊姊生活.
伊身命荏,需要調養.	他的體質差,需要調養.
伊耍甲規身軀烏趖趖.	他玩得全身髒兮兮.
伊明其知影閣佯毋知.	他明明知道卻裝不知道.
伊佮阿明是叔伯兄弟.	他和阿明是堂兄弟.
伊的面我看著就刺鑿.	他的臉我看了就討厭.
伊佇中央機關咧做官.	他在中央機關擔任官員.
伊放刁欲予你歹過日.	他放話要讓你日子難過.
伊所有的錢攏開了矣.	他所有的錢都花光了.
伊有誠濟枉屈無地講.	他有很多的冤屈無處可說.
伊是彼間公司的股東.	他是那間公司的持股人.
伊定定講話共人侮辱.	他常常用話侮辱人.
伊的物件交代我保管.	他把東西交給我保管.
伊共家己封做鴨母王.	他自封為鴨母王.
伊按算明年欲買新厝.	他打算明年要買新房子.
伊的穿插綴會著時行.	他的穿著跟得上流行.
伊穿甲規身軀紅記記.	他全身穿得火紅.
伊是專門咧放重利的.	他是專門在放高利貸的.
伊的目睭重巡,真媠.	他有雙眼皮,真漂亮.
伊彼个人重食無重穿.	他那個人注重飲食不注重穿著.
伊自出世就食菜到今.	他從出生就吃素到現在.
伊佇𪜶阿叔遐食頭路.	他在他叔叔那裡上班.
伊咧修行,無插俗事.	他在修佛學道,不過問世事.
伊敢值得你按呢對待?	他值得你這樣對待嗎?
伊已經倒轉去下港矣.	他已經返回南部了.
伊下暗佇朋友遐借蹛.	他今晚在朋友那暫住.
伊彼个人上愛展風神.	他那個人最喜歡炫耀.
伊共兩本簿仔敆做伙.	他把兩本簿子釘在一起.
伊一喙就共肉欱落去.	他一口就把肉給吞了下去.
伊的心血攏烏有去矣.	他的心血都付諸流水了.
伊共祖厝賣予人拄數.	他將祖產賣給人用來抵帳.
伊予彼尾蛇驚甲破膽.	他被那條蛇嚇到破膽.
伊素食毋捌超過三工.	他吃素不曾超過三天.
伊予𪜶囝逆一下中風.	他被他的小孩忤逆而中風.
伊耍甲一半煞起呸面.	他玩到一半突然翻臉.
伊佮一个賣厝的咧鬥.	他與一個房仲人員同居.
伊看著我來就緊閃開.	他一看見我來就趕緊躲開.
伊做伊行,我做我行.	他走他的,我走我的.
伊逐擺行棋都偷食步.	他每次下棋都作弊.
伊會唬人,莫相信伊.	他騙人的,不要相信他.
伊的生活傷過頭奢華.	他的生活太奢侈.
伊強押我去做歹代誌.	他強押我去做壞事.
伊去予人拍甲真悽慘.	他被人打得很慘.
伊佇番薯園咧掘番薯.	他正在地瓜園挖地瓜.
伊予人推甲烏青凝血.	他被人家毆打得瘀血.
伊昨昏去牽一台轎車.	他昨天去買了一部轎車.
伊共面巾袚佇肩胛頭.	他把毛巾披掛在肩膀上.
伊規年迵天攏佇國外.	他一整年都在國外.
伊逐日攏行路去買菜.	他每天都走路去買菜.
伊透世人攏做仝一途.	他一輩子沒換過職業.
伊喀規半晡攏喀無痰.	他咳了老半天都咳不出痰.
伊幾若工無來上班矣.	他好幾天沒來上班了.
伊不時提起這層代誌.	他經常提起這件事.
伊彼種人我看著就猌.	他那種人我看了就討厭.
伊規禮拜攏無去學校.	他整個星期都沒去學校.
伊講的話攏無影無跡.	他說的都是子虛烏有的.
伊喙邊有一粒愛食痣.	他嘴邊有一顆愛吃痣.
伊佇課本畫巡做記號.	他在課本畫線做記號.
伊食晝飽攏會去睏晝.	他吃過中餐後都會去午睡.
伊跍佇門口看過路人.	他蹲在門口看行人.
伊講的話予我真感心.	他講的話讓我很感動.
伊去予蛇驚甲慄慄掣.	他被蛇嚇得發抖.
伊食錢的代誌煏空矣.	他貪汙的事敗露了.
伊這个人禁忌特別濟.	他這個人禁忌特別多.
伊腹肚枵咧揣物件食.	他肚子餓正在找東西吃.
伊這擺的表現真落氣.	他這次的表現很難堪.
伊睏落眠矣,莫共叫.	他睡著了,不要叫他.
伊共餅裝入去盒仔底.	他把餅乾裝進去盒子裡頭.
伊煮菜攏無咧試鹹汫.	他煮菜都沒有在試味道.
伊講話攏帶一个話母.	他講話都帶著口頭禪.
伊運氣共枋仔拍破去.	他一運氣就把木板打破了.
伊是社會運動的前輩.	他是社會運動的前輩.
伊做事業的運途袂䆀.	他做事業的運道不錯.
伊已經僥心愛別人矣.	他已經變心愛別人了.
伊的手去予煙氣熁著.	他的手被水蒸氣燙到.
伊已經對我起疑心矣.	他已經對我起了疑心.
伊鼻目喙生做誠媠款.	他的五官長得很好.
伊這擺病一下誠厲害.	他這次病得很嚴重.
伊自細漢就真𠢕儉錢.	他從小就很會存錢.
伊出門的時我有影著.	他出門時我有注意一下.
伊是一个真樂觀的人.	他是一個很樂觀的人.
伊打扮做妖嬌的模樣.	他打扮成妖豔嬌媚的模樣.
伊是熟手,你免煩惱.	他是專精熟練的人,你不用煩惱.
伊挨絃仔的線路較好.	他拉二胡的指法比較好.
伊氣一下血壓衝誠懸.	他氣了一下血壓升得很高.
伊已經閬月無轉來矣.	他已經隔了一個月沒回家了.
伊瘸跤,行路無方便.	他瘸腿,走路不方便.
伊氣甲規个面膨起來.	他氣到整個臉鼓起來.
伊彼兩蕊目睭真大蕊.	他那兩顆眼睛很大顆.
伊氣甲規个面膨獅獅.	他氣得兩腮都鼓起來了.
伊褪赤跤佇外口耍水.	他光著腳在外面玩水.
伊褪腹裼坐佇遐歇涼.	他打赤膊坐在那裡乘涼.
伊驚一下走甲裂褲跤.	他嚇一跳跑到褲管都裂了.這句話表示逃之夭夭的意思.
伊親喙講的,袂假啦!	他親口說的,不會假啦!
伊頭腦內面生一粒瘤.	他頭顱裡長一顆瘤.
伊彈琴的聲音真優美.	他彈琴的聲音很優美.
伊相罵攏毋免掀戲文.	他罵人都不用看腳本的.比喻說罵人的話很流利.
伊講話的聲音真好聽.	他說話的聲音真好聽.
伊真要緊家己的聲望.	他很在意自己的名望.
伊講話的聲嗽無通好.	他說話的口氣不會好.
伊佮𪜶小弟是雙生仔.	他和他弟弟是雙胞胎.
伊真正是鐵齒銅牙槽.	他真是頑固.
伊偷𤆬人的囡仔去賣.	他偷偷引誘別人的小孩去賣.
伊的車門予人挵一㧌.	他的車門被撞了個凹陷.
伊惜囝,惜甲疼命命.	他疼愛孩子,疼得要命.
伊貧血,目睭起煙暈.	他貧血,眼睛花了.
伊食毋著藥仔煞行去.	他吃錯了藥就蹺辮子了.
伊掛彼粒錶仔金鑠鑠.	他戴那隻手錶金光閃閃.
伊較餾嘛遐的套頭話.	他總是提那些老生常談的事.
伊搭胸坎保證無問題.	他拍胸脯保證沒有問題.
伊便若食牛奶就落屎.	他只要喝牛奶就拉肚子.
伊若無錢就變無魍矣!	他如果沒錢就搞不出花樣了!
佇禮堂舉行畢業典禮.	在禮堂舉行畢業典禮.
佇繡房內刺花繡針黹.	在閨房裡刺繡做女紅.
作田人著愛看天食飯.	農夫要看天吃飯.
你無代無誌歹我創啥?	你沒事兇我幹嘛?
你哪會日時仔就咧睏?	你怎麼白天就在睡覺?
你千萬毋通閣行歹路.	你千萬不要再做壞事.
你按呢做毋驚會夭壽!	你這樣做不怕會短命!
你的手摺簿仔好換矣.	你的存摺簿應該要換了.
你誠生番呢!講袂聽.	你很蠻橫!講不聽.
你閣伐幾步仔就到矣.	你再跨大步走幾步就到了.
你就當做無伊的存在.	你就當作沒有他的存在.
你何必著親身走這逝?	你為何一定要親自跑這一趟?
你先去看有啥物車幫.	你先去看看有什麼班車.
你毋通閣佮伊來往矣.	你不要再跟他交往了.
你莫佇遐咧佯顛佯戇.	你別在那裡裝瘋賣傻.
你拍五筒,我就到矣!	你打五筒,我就胡了!
你莫佇遐卸世眾好無?	你別在那裡丟人現眼好不好?
你愛坦敧身才會當過.	你要側身才可以過.
你怙行的欲行甲底時?	你用走的要走到幾時?
你按呢放捒某囝敢著?	你這樣遺棄妻兒對嗎?
你毋通拍破人的飯碗.	你別打破人家的飯碗,斷了人家的生活.
你去共彼个包裹拆開.	你去將那個包裹拆開.
你毋通拍損人的物件.	你不要浪費東西.
你手提的是啥物物件?	你手裡拿的是什麼東西?
你想會著的攏記落來.	你想得到的都記下來.
你有耍過阿不倒仔無?	你有玩過不倒翁嗎?
你莫一直掠人金金看!	你不要一直注視著人!
你家己愛好好仔保重.	希望你自己好好保重.
你有啥物好的建議無?	你有什麼好的建議嗎?
你的拭仔敢會當借我?	你的橡皮擦能不能借我?
你毋通予人當做盼仔.	你不要被人當做傻瓜.
你咧寫啥,我攏看無.	你在寫些什麼,我都看不懂.
你莫閣佇遐咧哭呻矣.	你別在那裡發牢騷了.
你莫佇阮厝邊燒物件.	你不要在我家旁邊燒東西.
你共恁爸講予伊清楚.	你跟老子說清楚.
你去捀茶來予人客啉.	你去端茶來給客人喝.
你毋通按呢共伊消遣.	你不可以這樣消遣他.
你的頭毛欲破佗一爿?	你頭髮要分到哪一邊?
你莫閣佇遐咧眠夢矣.	你不要在那裡做夢了.
你敢有鼻著臭火燒味?	你聞到燒焦味了嗎?
你去共茶盤洗予清氣.	你去將茶盤洗乾淨.
你袂使佮伊出去𨑨迌!	你不可以和他出去玩!
你毋通跋筊跋了傷迷.	你不要賭博賭得太沉迷.
你緊起來樓頂看一下.	你快上樓來看一下.
你有請人來做司公無?	你有沒有請人來做法事?
你啖看按呢敢有夠鹹?	你嚐嚐看這樣夠鹹嗎?
你竟然敢毋聽我的話.	你居然敢不聽我的話.
你做代誌愛較細膩咧.	你做事要小心謹慎點.
你這間厝設計了真媠.	你這間房子設計得真美.
你佮伊講母語嘛會通.	你和他說母語也可以溝通.
你是閣走去佗位連回?	你又跑到哪裡去丟人現眼?
你這點仔錢會當創啥?	你這麼點兒錢能做什麼?
你的喙䫌哪會遐爾紅?	你的臉頰為什麼會那麼紅?
你寄的批我猶未收著.	你寄的信我還沒收到.
你做的發粿發了真好.	你做的發粿發得很好.
你敢知影伊覕佇佗位?	你知道他躲在哪嗎?
你共這張相貼佇壁頂.	你把這張照片貼在牆上.
你明仔載欲紮飯包無?	你明天要帶便當嗎?
你的房間哪會亂操操?	你的房間怎麼這麼亂?
你的物件落佇塗跤矣.	你的東西掉在地上了.
你哪會使搶人的物件?	你怎麼可以搶別人的東西?
你小歇睏一下,好無?	你稍微休息一下,好嗎?
你按呢做會落人的喙.	你這樣做會遭人批評.
你的觀念已經落伍矣.	你的觀念已經跟不上時代了.
你欠我的錢過數予伊.	你欠我的錢轉換給他負責.
你敢有零星通好找我?	你有沒有零錢可以找我?
你去市場買寡魚轉來.	你去市場買些魚回來.
你哪會摔甲大空細裂?	你怎麼會摔得傷痕累累?
你舞規半晡是舞好未?	你忙了大半天到底弄好沒?
你實在真𠢕製造麻煩!	你實在很會製造麻煩!
你毋通誤解我的意思.	你不要誤會我的意思.
你穿按呢傷過影目啦.	你穿這樣太過醒目了.
你有看著我的數單無?	你有沒有看到我的帳單?
你欲按怎做攏隨在你.	你要怎麼做都隨便你.
你行頭前,我綴你行.	你走前面,我跟你走.
你去求神,敢有應驗?	你去求神,有應驗嗎?
你的房間敢若糞堆咧.	你的房間像垃圾堆.
你的銀角仔輾落去矣.	你的銅板滾下去了.
你莫黜人的根仔絡仔.	你不要揭人家的瘡疤.
你敢欲去教會做禮拜?	你要去教會做禮拜嗎?
你真正是拄著雞屎運.	你真的是遇到好狗運.
你講的話我有聽著矣.	你說的話我聽到了.
你今仔日哪會遐𠢕早?	你今天怎麼來得那麼早?
你看了袂做得,是無?	你看了不以為然,是不是?
你毋通做彼種漚古代.	你不要做那種下三濫的事.
佮朋友鬥陣著愛誠懇.	和朋友交際往來要誠懇.
來去夜市仔食較有局.	去夜市吃比較實惠.
倚山食山,倚海食海.	住在山中就靠山謀生,住在海邊就靠海謀生.俗語,地方的產業及居民的謀生方式一定受到自然地理環境的影響.或指就地取用資源.引申或指當官吏要求收受賄賂時,向受壓榨者所說的話.
倩一陣弄龍的來鬧熱.	請一團舞龍來熱鬧熱鬧.
做牛著拖,做人著磨.	做牛得要拖犁耕田,做人得受生活的折磨.
做代誌毋通無存後步.	做事情不能沒有預留退路.
做序大愛有序大的款.	做長輩要有長輩的樣子.
做甲這種生理真無空.	做這種生意沒什麼利潤.
做生理上驚拄著漚客.	做生意最怕遇到差勁的客人.
做牛著拖,做人著磨.	當牛就得拖犁,做人就得操勞.
做好代才會出好囝孫.	做善事才會有好的後代子孫.
先生,請問尊姓大名?	先生,請問尊姓大名?
入虎喉,毋死也烏漚.	獵物進入老虎嘴裡,不死也只剩半條命.比喻金錢等貴重物品若交給了危險人物,將難以全身而退.
兩國領土交接的所在.	兩國領土交接的地方.
兩个佇房間內面相好.	兩個人在房間內發生性行為.
公園內的花蕊真清芳.	公園裡的花朵很清香.
公園的花開甲滿滿是.	公園的花開得到處都是.
共彼兩塊桌仔合倚來.	把那兩張桌子靠在一起.
共彼枝鐵枝仔扳予彎.	把那枝鐵條弄彎.
共這塊布展開曝曝咧.	把這塊布攤開曬一曬.
共粒𣁳起來,湯莫啉.	把湯料舀起來,湯不要喝.
出家人著愛看破世情.	出家人必須要看破世間瑣事.
出外家己愛較細膩咧.	出遠門自己要小心一點.
初一十五愛燒香拜拜.	初一十五要燒香拜拜.
刣人放火,愛受刑罰.	殺人放火要受刑責處罰.
到底你的意願是按怎?	到底你的意願是如何?
到彼个時,攑彼个旗.	到那個時候,拿那種旗子.意指屆時再依局勢判斷該怎麼做.
前謝五萬,後謝三萬.	先付五萬元酬勞,事成再付三萬.
加倩兩个人來鬥跤手.	多聘僱兩個人來幫忙.
博士博,博甲戴紙橐.	嘲笑人表現得好像知識比博士還淵博,但頭上戴的不是博士帽,而是紙袋子.
厝起好,內面著成格.	房子蓋好後,室內必須隔間裝潢.
去買一罐菜心來配糜.	去買一罐菜心來配稀飯.
去共朋友擺幾千箍仔.	去跟朋友借幾千塊.
去倒一擺愛三點鐘久.	往返一趟要三個鐘頭久.
叫你莫,你干干仔欲!	叫你不要,你偏要!
叫伊莫去,伊強欲去.	叫他不要去,他硬要去.
叫規半晡攏無人應聲.	叫半天都沒人回音.
咱愛好好仔招待人客.	我們要好好招呼客人.
咱愛有較正面的想法.	我們要有較正面的想法.
咱著愛孝敬咱的爸母.	我們要孝順尊敬我們的父母.
咱毋通濫糝共人批評.	我們不要胡亂批評別人.
咱對前後共伊圍起來.	我們分成前面和後面將他包圍起來.
咱公司最近生理真好.	我們公司最近生意很好.
咱是知己,毋通相瞞.	咱們是知己,不要相瞞.
咱就按呢做較省工啦!	我們要這樣做比較省力啦!
咱厝裡的烏糖用了矣.	我們家裡的紅糖用完了.
咱來去茶館啉茶開講.	我們去茶室喝茶聊天.
咱明仔載幾點欲起行?	我們明天幾點要出發?
咱兩个做伙來去𨑨迌.	我們兩個一起去玩.
咱雙頭攏來去揣看覓.	我們兩邊都去找找看.
哭爸!我袂記得紮錢!	糟了!我忘記帶錢!
囡仔兄,你欲去佗位?	小男孩,你要去哪?
囡仔的喙瀾垂落來矣.	小孩子的口水滴下來了.
囡仔的𨑨迌物百百款.	小朋友的玩具有很多很多種.
