㔂	lân
入厝愛看日.	Ji̍p-tshù ài khuànn-ji̍t.
內神通外鬼.	Lāi sîn thong guā kuí.
兩个人相尋.	Nn̄g ê lâng sio-siâm.
公親變事主.	Kong-tshin piàn sū-tsú.
六月賣火籠.	La̍k--gue̍h bē hué-lang.
共肉冰起來.	Kā bah ping--khí-lâi.
共水戽予焦.	Kā tsuí hòo hōo ta.
共屜仔挩開.	Kā thuah-á thuah--khui.
共鼻仔捏咧.	Kā phīnn-á tēnn--leh.
共窒仔捘開.	Kā that-á tsūn--khui.
共死結敨開.	Kā sí-kat tháu--khui.
共水渧予焦.	Kā tsuí tè hōo ta.
共沫㨻起來.	Kā phue̍h tsānn--khí-lâi.
共天公借膽.	Kā Thinn-kong tsioh tánn.
冤家變親家.	Uan-ke piàn tshin-ke.
冰箱害去矣.	Ping-siunn hāi--khì--ah.
出入愛細膩.	Tshut-ji̍p ài sè-jī.
出門愛紮錢.	Tshut-mn̂g ài tsah tsînn.
到今你才知!	Kàu-tann lí tsiah tsai!
到時你就知.	Kàu-sî lí tō tsai.
到期愛還錢.	Kàu-kî ài hîng tsînn.
刺人的根底.	Tshiah lâng ê kin-té.
剝皮袋粗糠.	Pak-phuê tē tshoo-khng.
加減食一寡.	Ke-kiám tsia̍h--tsi̍t-kuá.
加話減講寡.	Ke-uē kiám kóng--kuá.
勤儉才有底.	Khîn-khiām tsiah ū-té.
十喙九尻川.	Tsa̍p tshuì káu kha-tshng.
十二分的感謝	tsa̍p-jī-hun ê kám-siā
十花五色的人	tsa̍p-hue-gōo-sik ê lâng
十甲做一保.	Tsa̍p kah tsò tsi̍t pó.
十喙,九貓.	Tsa̍p tshuì, káu niau.
半知半毋知.	Puànn tsai puànn m̄ tsai.
半賣半相送.	Puànn bē puànn sio-sàng.
卒仔食過河.	Tsut-á tsia̍h kuè hô.
南港軟體園區	Lâm-káng Nńg-thé Hn̂g-khu
占贏毋占輸.	Tsiàm-iânn m̄ tsiàm-su.
厝內真驚人.	Tshù-lāi tsin kiann-lâng.
去病院看伊.	Khì pēnn-īnn khuànn--i.
去予火燒著.	Khì hōo hué sio--tio̍h.
去山頂隱居.	Khì suann-tíng ún-ki.
叉人的頷頸.	Tshe lâng ê ām-kún.
名聲迵四海.	Miâ-siann thàng sù-hái.
向逐家謝罪.	Hiòng ta̍k-ke siā-tsuē.
命運天註定.	Miā-ūn thinn tsù-tiānn.
和尚咧誦經.	Huê-siūnn teh siōng-king.
咱攏來讀冊.	Lán lóng lâi tha̍k-tsheh.
咱鬥陣來去.	Lán tàu-tīn lâi-khì.
咱毋通僥人.	Lán m̄-thang hiau--lâng.
咱那啉那講.	Lán ná lim ná káng.
哎!真拍損.	Aih! Tsin phah-sńg.
哪會按呢生?	Ná ē án-ne-senn?
唅?你講啥?	Hannh? Lí kóng siannh?
唉!真可惜.	Haih! Tsin khó-sioh.
啉水止喙焦.	Lim tsuí tsí tshuì-ta.
啉水去嗾著.	Lim tsuí khì tsa̍k--tio̍h.
喂!緊行啦!	Eh! Kín kiânn--lah!
善惡終有報.	Siān-ok tsiong iú pò.
喙瀾津落來.	Tshuì-nuā tin--lo̍h-lâi.
喙䫌搐一下.	Tshuì-phué tiuh--tsi̍t-ē.
喙齒𢲸𢲸搟.	Tshuì-khí lōo-lōo-hián.
喙飽目睭枵.	Tshuì pá ba̍k-tsiu iau.
四界拋一輾.	Sì-kè pha--tsi̍t-liàn.
囝婿是半子.	Kiánn-sài sī puàn-tsú.
囡仔袂開脾.	Gín-á bē khui-pî.
囡仔騙袂恬!	Gín-á phiàn bē tiām!
囥佇椅仔頂頭	khǹg tī í-á tíng-thâu
圇頭出來看.	Lun thâu tshut-lâi khuànn.
土人講土話.	Thóo-lâng kóng thóo-uē.
基督教的道理	Ki-tok-kàu ê tō-lí
塗跤陷入去.	Thôo-kha hām--ji̍p-khì.
塗跤揉揉咧.	Thôo-kha jiû-jiû--leh.
大嫂疼小叔.	Tuā-só thiànn sió-tsik.
大港無崁蓋.	Tuā-káng bô khàm-kuà.
大格雞慢啼.	Tuā-keh ke bān thî.
大舌閣興喋.	Tuā-tsi̍h koh hìng thi̍h.
大碗閣滿墘.	Tuā uánn koh buán kînn.
大腸告小腸.	Tuā-tn̂g kò sió-tn̂g.
天公疼戇人.	Thinn-kong thiànn gōng-lâng.
天篷陷落來.	Thian-pông hām--lo̍h-lâi.
天頂攏無雲.	Thinn-tíng lóng bô hûn.
天地顛倒反.	Thinn-tē tian-tò-píng.
奸詭的生理人	kan-kuí ê sing-lí-lâng
好來去轉矣.	Hó lâi-khì tńg--ah.
好心予雷唚.	Hó-sim hōo luî tsim.
好酒沉甕底.	Hó-tsiú tîm àng-té.
媽祖婆真聖.	Má-tsóo-pô tsin siànn.
媽祖顯聖矣.	Má-tsóo hián-sìng--ah.
嬰仔咧吶舌.	Enn-á teh nā tsi̍h.
嬰仔咧欶奶.	Enn-á teh suh ling.
孤鳥插人群.	Koo tsiáu tshah lâng-kûn.
孤鳥插人群.	Koo-tsiáu tshah lâng-kûn.
宛然失光明.	Uán-jiân sit kong-bîng.
家伙跋了了.	Ke-hué pua̍h-liáu-liáu.
寒甲咇咇掣.	Kuânn kah phi̍h-phi̍h-tshuah.
寒甲擋袂牢.	Kuânn kah tòng bē tiâu.
寫一篇文章.	Siá tsi̍t phinn bûn-tsiong.
寶劍配英雄.	Pó-kiàm phuè ing-hiông.
對遮裁落去.	Tuì tsia tshâi--lo̍h-khì.
對人袂得過.	Tuì lâng bē-tit kuè.
小妹著掩咧!	Sió-muē tio̍h am--leh!
尪仔頭袂䆀.	Ang-á-thâu bē-bái.
尪姨順話尾.	Ang-î sūn uē-bué.
尪架桌發爐.	Ang-kè-toh huat-lôo.
屜仔卡牢咧!	Thuah-á kha̍h-tiâu--leh!
屧佇屜仔內.	Siap tī thuah-á-lāi.
差咧天佮地.	Tsha leh thinn kah tē.
布邊繐去矣.	Pòo-pinn sui--khì--ah.
師傅牽師仔.	Sai-hū khan sai-á.
幾點會到地?	Kuí tiám ē kàu-tè?
張持無蝕本.	Tiunn-tî bô si̍h-pún.
強欲無氣矣.	Kiōng-beh bô khuì--ah.
彼窟水成人深	Hit khut tsuí tsiânn-lâng tshim.
彼隻狗咧痟.	Hit tsiah káu teh siáu.
彼个人痟痟.	Hit ê lâng siáu-siáu.
彼箍有夠挐.	Hit khoo ū-kàu jû.
彼个人真橫.	Hit ê lâng tsin huâinn.
彼是啥物聲?	He sī siánn-mih siann?
彼个人足霸.	Hit ê lâng tsiok pà.
彼箍足癮的.	Hit khoo tsiok giàn--ê.
往西爿行去.	Óng sai-pîng kiânn--khì.
心臟噗噗惝.	Sim-tsōng pho̍k-pho̍k-tshíng.
心肝掠坦橫.	Sim-kuann lia̍h-thán-huâinn.
心肝結規毬.	Sim-kuann kiat kui kiû.
心肝噗噗跳.	Sim-kuann pho̍k-pho̍k-thiàu.
心肝像針揻.	Sim-kuann tshiūnn tsiam ui.
怨生無怨死.	Uàn senn bô uàn sí.
恁欲去佗位?	Lín beh khì tó-uī?
惡馬惡人騎.	Ok bé ok lâng khiâ.
想著真怨嘆.	Siūnn tio̍h tsin uàn-thàn.
愈大漢愈精.	Jú tuā-hàn jú tsing.
愛拚才會贏.	Ài piànn tsiah ē iânn.
感冒會過人.	Kám-mōo ē kuè--lâng.
感冒會𪐞人.	Kám-mōo ē tòo--lâng.
慢牛厚屎尿.	Bān gû kāu-sái-jiō.
戇猴擔石頭.	Gōng-kâu tann tsio̍h-thâu.
戇人有戇福.	Gōng-lâng ū gōng hok.
我會真毋甘.	Guá ē tsin m̄-kam.
我猶未食飯.	Guá iáu-buē tsia̍h-pn̄g.
我無食早起.	Guá bô tsia̍h tsá-khí.
我真佩服伊.	Guá tsin puē-ho̍k--i.
我較占便宜.	Guá khah tsiàm pân-gî.
我腹肚枵矣.	Guá pak-tóo-iau--ah.
我咧做長衫.	Guá teh tsò tn̂g-sann.
我共布剪開.	Guá kā pòo tsián--khui.
我無欲去啦!	Guá bô beh khì--lah!
我聽甲足現.	Guá thiann kah tsiok hiān.
我頂伊的缺.	Guá tíng i ê khueh.
我替你歡喜.	Guá thè lí huann-hí.
我替你寄批.	Guá thè lí kià-phue.
我的跤真痠.	Guá ê kha tsin sng.
我最近較閒.	Guá tsuè-kīn khah îng.
我的面較圓.	Guá ê bīn khah înn.
我真愛𨑨迌.	Guá tsin ài tshit-thô.
我足愛睏的.	Guá tsiok ài-khùn--ê.
我飼一隻狗.	Guá tshī tsi̍t tsiah káu.
我腹肚真飽.	Guá pak-tóo tsin pá.
我對基隆來.	Guá tuì Ke-lâng lâi.
我足慼伊的.	Guá tsiok tsheh--i--ê.
我真數念伊.	Guá tsin siàu-liām--i.
我踮遮等你.	Guá tiàm tsia tán--lí.
我佮伊無親.	Guá kah i bô tshin.
我隨後就到.	Guá suî-āu tō kàu.
我來拍頭陣.	Guá lâi phah thâu-tīn.
我穩贏的啦!	Guá ún iânn--ê--lah!
戲班咧搬戲.	Hì-pan teh puann-hì.
手勢無啥著.	Tshiú-sè bô siánn tio̍h.
手䘼著火矣.	Tshiú-ńg to̍h-hué--ah.
手小扶一下.	Tshiú sió phôo--tsi̍t-ē.
手骨折去矣.	Tshiú-kut tsi̍h--khì--ah.
手不動三寶.	Tshiú put tāng sam-pó.
手𫝻著塗粉.	Tshiú huê-tio̍h thôo-hún.
扶助散赤人.	Hû-tsōo sàn-tshiah-lâng.
抹粉點胭脂.	Buah-hún tiám ian-tsi.
押囡仔食飯.	Ah gín-á tsia̍h-pn̄g.
拄著好時運.	Tú-tio̍h hó sî-ūn.
拄仔好夠本.	Tú-á-hó kàu-pún.
拋繡球招親.	Phau siù-kiû tsio tshin.
拍叉做記號.	Phah tshe tsò kì-hō.
拍人喝救人.	Phah lâng huah kiù-lâng.
拔人的生理.	Pue̍h lâng ê sing-lí.
拜託你放手.	Pài-thok lí pàng-tshiú.
按呢講有通.	Án-ne kóng ū thong.
按呢敢有對?	Án-ne kám ū tuì?
挵鼓真趣味.	Lòng kóo tsin tshù-bī.
捾矸蔭三分.	Kuānn kan ìm sann hun.
掠伊金金看.	Lia̍h i kim-kim-khuànn.
掠直行較近.	Lia̍h-ti̍t kiânn khah kīn.
掠雞寄山貓.	Lia̍h ke kià suann-niau.
提筆來寫字.	The̍h pit lâi siá-jī.
插一罐涼的.	Tshah tsi̍t kuàn liâng--ê.
換你來接手.	Uānn lí lâi tsiap-tshiú.
揣伊來對指.	Tshuē i lâi tuì-tsí.
搐人衫裾尾.	Tiuh lâng sann-ki-bué.
搖較大力咧.	Iô khah tuā-la̍t--leh.
摘啥人較好?	Tiah siánn-lâng khah hó?
攄較邊仔咧.	Lu khah pinn--á--leh.
攑手電炤路.	Gia̍h tshiú-tiān tshiō lōo.
放屁安狗心.	Pàng-phuì an káu sim.
敢有見校長?	Kám ū kìnn hāu-tiúnn?
新鞋礪破皮.	Sin ê lè-phuà phuê.
日子真歹過.	Ji̍t-tsí tsin pháinn-kuè.
春天後母面.	Tshun-thinn āu-bú-bīn.
時間無早矣.	Sî-kan bô tsá--ah.
暗路毋通行.	Àm-lōo m̄-thang kiânn.
曲跤撚喙鬚.	Khiau-kha lián tshuì-tshiu.
會跋才會大.	Ē pua̍h tsiah ē tuā.
有這款可能.	Ū tsit khuán khó-lîng.
有食閣有掠.	Ū tsia̍h koh ū lia̍h. 有時引申為人心不足，貪得無厭，要得很多。
有食閣有掠.	Ū tsia̍h koh ū lia̍h.
有量就有福.	Ū-liōng tō ū hok.
服務費包在內	ho̍k-bū-huì pau tsāi-lāi
枋仔僥去矣.	Pang-á hiau--khì--ah.
枵雞無畏箠.	Iau ke bô uì tshuê.
枵鬼假細膩.	Iau-kuí ké sè-jī.
柑仔脯去矣.	Kam-á póo--khì--ah.
校長兼摃鐘.	Hāu-tiúnn kiam kòng-tsing.
校長兼摃鐘.	Hāu-tiúnn kiam kòng tsing.
桌頂全坱埃.	Toh-tíng tsuân ing-ia.
椅仔減一隻.	Í-á kiám tsi̍t tsiah.
樹仔發穎矣!	Tshiū-á huat-ínn--ah!
欣賞藝術作品	him-sióng gē-su̍t tsok-phín
歁話講規擔.	Khám-uē kóng kui tànn.
歹物毋通買.	Pháinn-mi̍h m̄-thang bé.
歹竹出好筍.	Pháinn tik tshut hó sún.
死人望功德.	Sí-lâng bāng kong-tik.
死目毋願瞌.	Sí ba̍k m̄-guān kheh.
死蛇活尾溜.	Sí tsuâ ua̍h bué-liu.
死狗鎮路頭.	Sí káu tìn lōo-thâu.
死目毋願瞌.	Sí ba̍k m̄ guān kheh.
殺人免用刀.	Sat jîn bián iōng to.
毋知生抑死.	M̄ tsai senn ia̍h sí.
毋知圓抑扁.	M̄ tsai înn ia̍h pínn.
毋通掣頭毛.	M̄-thang tshuah thâu-mn̂g.
母舅坐大位.	Bú-kū tsē tuā-uī.
母仔囝連心.	Bú-á-kiánn liân sim.
毛跤欲修無?	Mn̂g-kha beh siu--bô?
氣甲趒起來.	Khì kah tiô--khí-lâi.
氣死驗無傷.	Khì-sí giām bô siong.
水泏出來矣.	Tsuí tsuah--tshut-lâi--ah.
水捙倒去矣.	Tsuí tshia-tó--khì--ah.
水溢出來矣.	Tsuí ik--tshut-lâi--ah.
水漏出來矣.	Tsuí lāu--tshut-lâi--ah.
水蝕落去矣.	Tsuí si̍h--lo̍h-khì--ah.
水碓無糙米.	Tsuí-tuì bô tshò-bí.
派人去收錢.	Phài lâng khì siu tsînn.
海水不可斗量	hái-suí put-khó tóo liông
清明愛培墓.	Tshing-bîng ài puē-bōng.
漚屎步盡展.	Àu-sái-pōo tsīn tián.
漚柑鋪籠面.	Àu kam phoo láng-bīn.
激一个派頭.	Kik tsi̍t ê phài-thâu.
濺水洗塗跤.	Tsuānn tsuí sé thôo-kha.
火咧湠真緊.	Hué teh thuànn tsin kín.
火舌爁一下.	Hué-tsi̍h nah--tsi̍t-ē.
灶跤著火矣.	Tsàu-kha to̍h-hué--ah.
烏狗綴查某.	Oo-káu tuè tsa-bóo.
烏鶖騎水牛.	Oo-tshiu khiâ tsuí-gû.
烏仔魚搢水.	Oo-á-hî tsìnn tsuí.
烏鴉笑烏豬.	Oo-a tshiò oo ti.
無安身的所在	bô an-sin ê sóo-tsāi
無趨袂瀉水.	Bô tshu bē sià tsuí.
無三不成禮.	Bû sam put sîng lé.
無枷夯交椅.	Bô kê giâ kau-í.
無行袂出名.	Bô kiânn bē tshut-miâ.
煞著頂腹蓋.	Sannh-tio̍h tíng-pak-kuà.
熟似騙厝內.	Si̍k-sāi phiàn tshù-lāi.
燒酒我無路.	Sio-tsiú guá bô-lōo.
牛咧吐𡳞𦉎.	Gû teh thóo lān-sui.
物件交予你.	Mi̍h-kiānn kau hōo--lí.
物件抾抾咧!	Mi̍h-kiānn khioh-khioh--leh!
物件烌去矣.	Mi̍h-kiānn hu--khì--ah.
物件落勾去.	Mi̍h-kiānn làu-kau--khì.
物件烏白㧒.	Mi̍h-kiānn oo-pe̍h hiat.
牽牛去食草.	Khan gû khì tsia̍h tsháu.
牽豬哥趁暢.	Khan-ti-ko thàn thiòng.
狗仔齧骨頭.	Káu-á khè kut-thâu.
狸猫換太子.	Lî-bâ uānn thài-tsú.
現流仔上鮮.	Hiān-lâu-á siōng tshinn.
甘蔗隨目齧.	Kam-tsià suî ba̍k khè.
甜粿炊無透.	Tinn-kué tshue bô thàu.
生做肉肉肉.	Senn-tsò bah-bah-bah.
生理花花仔.	Sing-lí hue-hue--á.
生活真穩定.	Sing-ua̍h tsin ún-tīng.
用手比較緊.	Iōng tshiú pí khah kín.
用柱仔侹咧!	Īng thiāu-á thiānn--leh!
用話共伊揬.	Iōng uē kā i tu̍h.
用鞋楦楦鞋.	Īng ê-hùn hùn ê.
用齒粉洗喙.	Iōng khí-hún sé-tshuì.
用葵扇擛風.	Iōng khuê-sìnn ia̍t-hong.
用鍥仔割草.	Iōng keh-á kuah tsháu.
用簸箕來貯.	Iōng puà-ki lâi té.
用冰𫝏頭殼.	Īng ping gàn thâu-khak.
田比園較貴.	Tshân pí hn̂g khah kuì.
田嬰扶石柱.	Tshân-enn phôo tsio̍h-thiāu.
男子漢大丈夫	lâm-tsú-hàn tāi-tiōng-hu
畫一个圓箍仔	uē tsi̍t ê înn-khoo-á
疊磚仔起厝.	Thia̍p tsng-á khí-tshù.
疕仔莫去控.	Phí-á mài khì khàng.
病情無穩定.	Pēnn-tsîng bô ún-tīng.
病情真嚴重.	Pēnn-tsîng tsin giâm-tiōng.
病好原全未?	Pēnn hó guân-tsuân--buē?
痟狗舂墓壙.	Siáu-káu tsing bōng-khòng.
痟貪軁雞籠.	Siáu-tham nǹg ke-lam.
瘦田𠢕欶水.	Sán tshân gâu suh tsuí.
瘦田歹種作.	Sán tshân pháinn tsìng-tsoh.
發風颱警報.	Huat hong-thai kíng-pò.
目睭瞪大蕊.	Ba̍k-tsiu tènn tuā luí.
目屎掰袂離.	Ba̍k-sái pué bē lī.
相罵無好喙.	Sio-mē bô hó-tshuì.
看你欲招無!	Khuànn lí beh tsiau--bô!
看甲無𥍉目.	Khuànn kah bô nih-ba̍k.
真心相照顧.	Tsin-sim sio-tsiàu-kòo.
眾人喙僫掩.	Tsìng-lâng tshuì oh am.
睏甲袂翻身.	Khùn kah bē huan-sin.
磅看幾斤重.	Pōng khuànn kuí kin tāng.
社會民心不滿	siā-huē bîn-sim put-buán
社會真烏暗.	Siā-huē tsin oo-àm.
稻仔結穗矣.	Tiū-á kiat-suī--ah.
穢涗兼鎮地.	Uè-suè kiam tìn-tè.
空喙真大裂.	Khang-tshuì tsin tuā li̍h.
空間無夠大.	Khong-kan bô-kàu tuā.
空喙堅疕矣.	Khang-tshuì kian-phí--ah.
穿長衫疊馬褂	tshīng tn̂g-sann tha̍h bé-kuà
窗仔鬥無峇.	Thang-á tàu bô bā.
窗仔愛總關.	Thang-á ài tsóng kuainn.
筊場無爸囝.	Kiáu-tiûnn bô pē-kiánn.
算看偌濟錢.	Sǹg khuànn guā-tsē tsînn.
粒仔咧流湯.	Lia̍p-á teh lâu-thng.
粒仔咧楦膿.	Lia̍p-á teh hùn lâng.
粒仔孵膿矣.	Lia̍p-á pū-lâng--ah.
糜煮了傷洘.	Muê tsú liáu siunn khó.
糜煮了傷漖.	Muê tsú liáu siunn kà.
紅龜粿真𩚨.	Âng-ku-kué tsin khiū.
索仔擢一下.	Soh-á tioh--tsi̍t-ē.
紮禮物送伊.	Tsah lé-bu̍t sàng--i.
緊去接人客.	Kín khì tsiap lâng-kheh.
緊行無好步.	Kín kiânn bô hó pōo.
繡一對鴛鴦.	Siù tsi̍t tuì uan-iunn.
罔趁較袂散.	Bóng thàn khah bē sàn.
罰你掃塗跤.	Hua̍t lí sàu thôo-kha.
老牌老字號.	Láu-pâi láu-jī-hō.
老猴歕洞簫.	Lāu-kâu pûn tōng-siau.
耳鏡破去矣.	Hīnn-kiànn phuà--khì--ah.
聽了人真慒.	Thiann liáu lâng tsin tso.
肉煠有熟無?	Bah sa̍h ū si̍k--bô?
胡蠅舞屎桮.	Hôo-sîn bú sái-pue.
腹肚遮大奒.	Pak-tóo tsiah tuā hai.
腹肚脹起來.	Pak-tóo tiòng--khí-lâi.
腹肚做藥櫥.	Pak-tóo tsò io̍h-tû.
臭柑排店面.	Tshàu kam pâi tiàm-bīn.
臭焦補無熟.	Tshàu-ta póo bô si̍k.
至親無絕情.	Tsì-tshin bô tsua̍t-tsîng.
臺灣十大建設	Tâi-uân si̍p tāi kiàn-siat
舊囚食新囚.	Kū siû tsia̍h sin siû.
舊車去褪人.	Kū tshia khì thǹg--lâng.
舊鞋較好穿.	Kū ê khah hó tshīng.
船過水無痕.	Tsûn kuè tsuí bô hûn.
船欲安龍骨.	Tsûn beh an liông-kut.
若按呢愈好.	Nā án-ne jú hó.
茶愛斟予滇.	Tê ài thîn hōo tīnn.
莫閣啉矣啦!	Mài koh lim--ah--lah!
莫穢涗別人.	Mài uè-suè pa̍t-lâng.
萬里鄉崁跤村	Bān-lí-hiong Khàm-kha-tshun
萬事起頭難.	Bān-sū khí-thâu lân.
落一齒喙齒.	Lak tsi̍t khí tshuì-khí.
虎頭鳥鼠尾.	Hóo thâu niáu-tshí bué.
行情伊誠光.	Hâng-tsîng i tsiânn kng.
衝了傷過頭.	Tshiong liáu siunn kuè-thâu.
衫仔擢擢咧.	Sann-á tioh-tioh--leh.
袂出得買來食	bē-tshut-tit bé-lâi tsia̍h
裂甲遮大空.	Li̍h kah tsiah tuā khang.
裂兩裂去矣.	Li̍h nn̄g li̍h--khì--ah.
補冬補喙空.	Póo-tang póo tshuì-khang.
西方極樂世界	se-hong ki̍k-lo̍k sè-kài
西瓜倚大爿.	Si-kue uá tuā-pîng.
西瓜倚大爿.	Si-kue uá tuā pîng.
見笑轉受氣.	Kiàn-siàu tńg siū-khì.
規路攏是人.	Kui-lōo lóng sī lâng.
認伊做師傅.	Jīn i tsò sai-hū.
誠意食水甜.	Sîng-ì tsia̍h tsuí tinn.
請你莫見怪.	Tshiánn lí mài kiàn-kuài.
請問你貴庚?	Tshiánn-mn̄g lí kuì-kenn?
請問咱貴姓?	Tshiánn-mn̄g lán kuì-sènn?
請你饒赦伊.	Tshiánn lí jiâu-sià--i.
論輩無論歲.	Lūn puè bô lūn huè.
講了真清楚.	Kóng liáu tsin tshing-tshó.
講甲喙角全泡	kóng kah tshuì-kak tsuân pho
講甲若真的.	Kóng kah ná tsin--ê.
講破毋值錢.	Kóng-phuà m̄ ta̍t-tsînn.
謼!遮恐怖!	Hooh! Tsiah khióng-pòo!
識皮包戇餡.	Sik phuê pau gōng ānn.
豆仔暴穎矣.	Tāu-á pok-ínn--ah.
豬跤真僫𤉙.	Ti-kha tsin oh kûn.
販新貨來賣.	Phuànn sin huè lâi bē.
貪俗買狗鯊.	Tham sio̍k bé káu-sua.
貯了傷實櫼.	Té liáu siunn tsa̍t-tsinn.
賞你一百箍.	Siúnn lí tsi̍t-pah khoo.
趁這馬緊去.	Thàn tsit-má kín khì.
跋看有桮無?	Pua̍h khuànn ū pue--bô?
跋落萬丈深坑	pua̍h-lo̍h bān-tn̄g-tshim-khenn
跤手尾冷吱吱	kha-tshiú-bué líng-ki-ki
跤尾冷吱吱.	Kha-bué líng-ki-ki.
跤靠佇桌頂.	Kha khuà tī toh-tíng.
躡跤尾來看.	Neh-kha-bué lâi khuànn.
身軀真臭汗酸	sin-khu tsin tshàu-kuānn-sng
身軀無紮錢.	Sin-khu bô tsah tsînn.
車咧哹哹叫.	Tshia teh pu-pu-kiò.
車內真䆀味.	Tshia-lāi tsin bái bī.
較臨五十歲.	Khah lím gōo-tsa̍p huè.
輪鬮較公平.	Lûn-khau khah kong-pênn.
轉去食家己.	Tńg-khì tsia̍h-ka-kī.
追查某囡仔.	Tui tsa-bóo gín-á.
送君珠淚滴.	Sàng kun tsu-luī tih.
透著別款種.	Thàu-tio̍h pa̍t-khuán tsíng.
透雨去作田.	Thàu-hōo khì tsoh-tshân.
逐家來猜謎.	Ta̍k-ke lâi tshai-bī.
逐家攏莫去.	Ta̍k-ke lóng mài khì.
這毋是我的.	Tse m̄ sī guá ê.
這雙鞋真有穿	tsit siang ê tsin ū tshīng
這塊田真肥.	Tsit tè tshân tsin puî.
這塊肉真肥.	Tsit tè bah tsin puî.
這塊布誠花.	Tsit tè pòo tsiânn hue.
這本冊真厚.	Tsi̍t pún tsheh tsin kāu.
這種菇有毒.	Tsit tsióng koo ū to̍k.
這兩色無配.	Tsit nn̄g sik bô phuè.
這是啥物件?	Tse sī siánn mi̍h-kiānn?
這个人悾悾.	Tsit ê lâng khong-khong.
這條線斜斜.	Tsit tiâu suànn tshua̍h-tshua̍h.
這本冊足深.	Tsit pún tsheh tsiok tshim.
這本冊較淺.	Tsit pún tsheh khah tshián.
這種餅真甜.	Tsit tsióng piánn tsin tinn.
這種花傷野.	Tsit tsióng hue siunn iá.
這條路真湳.	Tsit tiâu lōo tsin làm.
這曷無啥貨.	Tse a̍h bô-siánn-huè.
這塊肉真韌.	Tsit tè bah tsin jūn.
這領褲幾圓?	Tsit niá khòo kuí înn?
這頓算我的.	Tsit tǹg sǹg guá ê.
這領被溼溼.	Tsit niá phuē sip-sip.
這張紙傷薄.	Tsit tiunn tsuá siunn po̍h.
這間厝真齪.	Tsit king tshù tsin tsak.
過時賣曆日.	Kuè-sî bē la̍h-ji̍t.
遭遇著不幸.	Tso-gū-tio̍h put-hīng.
遮的水誠深.	Tsia ê tsuí tsiânn tshim.
遮愛硩印仔.	Tsia ài teh ìn-á.
重質不重量.	Tiōng tsit put tiōng liōng.
野甲若猴咧.	Iá kah ná kâu--leh.
金仔折現金.	Kim-á tsiat hiān-kim.
金瓜臭腹內.	Kim-kue tshàu pak-lāi.
釘杙仔做界.	Tìng khi̍t-á tsò kài.
錢囥佇銀行.	Tsînn khǹg tī gîn-hâng.
錢算了花去.	Tsînn sǹg liáu hue--khì.
錢莫烏白開.	Tsînn mài oo-pe̍h khai.
鐘聲真響亮.	Tsing-siann tsin hiáng-liāng.
長命食百二.	Tn̂g-miā tsia̍h pah-jī.
長株形的桌仔	tn̂g-tu-hîng ê toh-á
門扇鬥袂峇.	Mn̂g-sìnn tàu bē bā.
門口攏是鞋.	Mn̂g-kháu lóng sī ê.
門愛圈予好.	Mn̂g ài khian hōo hó.
開車愛專心.	Khui-tshia ài tsuan-sim.
開錢若開水.	Khai-tsînn ná khai tsuí.
閹雞趁鳳飛.	Iam-ke thàn hōng pue.
阿爸睏醒矣.	A-pah khùn-tshénn--ah.
雞仔咯咯叫.	Ke-á ko̍k-ko̍k-kiò.
雞屎運咧敨.	Ke-sái-ūn teh tháu.
雞母咧筅塗.	Ke-bó teh tshíng thôo.
雨水嘈嘈滴.	Hōo-tsuí tsha̍uh-tsha̍uh-tih.
雨水真齊勻.	Hōo-tsuí tsin tsiâu-ûn.
電線相拍電.	Tiān-suànn sio-phah-tiān.
電風紡足緊.	Tiān-hong pháng tsiok kín.
面巾搵予澹.	Bīn-kin ùn hōo tâm.
鞋仔無合跤.	Ê-á bô ha̍h kha.
順風捒倒牆.	Sūn-hong sak-tó tshiûnn.
頭前是死路.	Thâu-tsîng sī sí-lōo.
頭殼相拍電.	Thâu-khak sio-phah-tiān.
頭殼筋咧搐.	Thâu-khak-kin teh tiuh.
頭跩咧就走.	Thâu tsuāinn--leh tō tsáu.
風湧較平矣.	Hong-íng khah pênn--ah.
風吹斷了線.	Hong-tshue tn̄g liáu suànn.
食飯皇帝大.	Tsia̍h-pn̄g hông-tè tuā.
食甲老老老.	Tsia̍h kah lāu-lāu-lāu.
食好鬥相報.	Tsia̍h hó tàu sio-pò.
食酒解憂愁.	Tsia̍h tsiú kái iu-tshiû.
食好做輕可.	Tsia̍h hó tsò khin-khó.
食老面皺皺.	Tsia̍h-lāu bīn jiâu-jiâu.
食老,變相.	Tsia̍h-lāu, piàn-siòng.
食緊挵破碗.	Tsia̍h-kín lòng-phuà uánn.
食飯坩中央.	Tsiah pn̄g-khann tiong-ng.
飲食愛節制.	Ím-si̍t ài tsiat-tsè.
飼囝真辛苦.	Tshī kiánn tsin sin-khóo.
養成好習慣.	Ióng-sîng hó si̍p-kuàn.
驚伊毋肯來.	Kiann i m̄ khíng lâi.
驚驚袂著等.	Kiann-kiann bē tio̍h-tíng.
高雄國際機場	Ko-hiông Kok-tsè Ki-tiûnn
魚仔瀳倚來.	Hî-á tshînn uá--lâi.
鴨仔咧搤水.	Ah-á teh iah tsuí.
鴨母咧生卵.	Ah-bó teh senn nn̄g.
鴨母喙罔叨.	Ah-bó-tshuì bóng lo.
鴨鵤袂生卵.	Ah-kak bē senn-nn̄g.
